huc6,total_cropland_acres_2022,corn_acres_2022,corn_pct_cropland_2022,soybean_acres_2022,soybean_pct_cropland_2022
010100,169573.0,2818.0,1.66,758.0,0.45
010200,46022.0,4789.0,10.41,,
010300,85793.0,12960.0,15.11,,
010400,32331.0,2348.0,7.26,,
010500,71822.0,376.0,0.52,,
010600,55858.0,4410.0,7.9,,
010700,67881.0,4890.0,7.2,681.0,1.0
010801,127712.0,,,,
010802,109016.0,,,,
010900,,,,,
011000,,,,,
020200,670314.0,142004.0,21.18,27106.0,4.04
020301,83596.0,9628.0,11.52,,
020302,25284.0,1584.0,6.26,,
020401,352799.0,73623.0,20.87,58535.0,16.59
020402,718839.0,211734.0,29.45,215965.0,30.04
020403,155475.0,49342.0,31.74,52843.0,33.99
020501,1124264.0,234865.0,20.89,54749.0,4.87
020502,357469.0,96926.0,27.11,63176.0,17.67
020503,1543824.0,568770.0,36.84,285652.0,18.5
020600,731088.0,257089.0,35.17,309317.0,42.31
020700,1404320.0,321227.0,22.87,243018.0,17.31
020801,997574.0,296536.0,29.73,399811.0,40.08
020802,482423.0,60448.0,12.53,77857.0,16.14
030101,778019.0,56583.0,7.27,169844.0,21.83
030102,1051816.0,192243.0,18.28,452700.0,43.04
030201,713485.0,121349.0,17.01,263662.0,36.95
030202,852196.0,144781.0,16.99,360697.0,42.33
030203,46541.0,7017.0,15.08,17167.0,36.89
030300,808483.0,146382.0,18.11,237849.0,29.42
030401,682401.0,146621.0,21.49,214033.0,31.36
030402,1252914.0,299224.0,23.88,442758.0,35.34
030501,662462.0,84742.0,12.79,89218.0,13.47
030502,479362.0,87444.0,18.24,56049.0,11.69
030601,528660.0,46987.0,8.89,31912.0,6.04
030602,,,,,
030701,,,,,
030702,354514.0,31849.0,8.98,7499.0,2.12
030801,265307.0,3405.0,1.28,,
030802,48393.0,,,,
030901,202601.0,,,,
030902,973473.0,15685.0,1.61,2173.0,0.22
031001,264861.0,1580.0,0.6,674.0,0.25
031002,251380.0,2802.0,1.11,239.0,0.1
031101,117942.0,8929.0,7.57,3584.0,3.04
031102,1045290.0,95001.0,9.09,28105.0,2.69
031200,256842.0,14611.0,5.69,2912.0,1.13
031300,1783834.0,199808.0,11.2,57813.0,3.24
031401,203181.0,11850.0,5.83,17385.0,8.56
031402,371745.0,22481.0,6.05,9452.0,2.54
031403,180256.0,12506.0,6.94,3515.0,1.95
031501,621914.0,57993.0,9.32,46365.0,7.46
031502,354385.0,27246.0,7.69,30195.0,8.52
031601,925839.0,118658.0,12.82,223634.0,24.15
031602,152610.0,7442.0,4.88,13167.0,8.63
031700,275790.0,,,,
031800,307464.0,,,,
040101,3927.0,,,,
040102,,,,,
040103,,,,,
040201,29736.0,,,162.0,0.54
040202,11483.0,260.0,2.26,396.0,3.45
040301,,,,,
040302,1277096.0,529327.0,41.45,275898.0,21.6
040400,,,,,
040500,3428012.0,1409423.0,41.11,1144778.0,33.39
040601,,,,,
040700,,,,,
040801,942017.0,252684.0,26.82,218856.0,23.23
040802,1431668.0,439445.0,30.69,540696.0,37.77
040900,,,,,
041000,,,,,
041100,268068.0,62703.0,23.39,106979.0,39.91
041201,,,,,
041300,700990.0,245923.0,35.08,91944.0,13.12
041401,149606.0,36037.0,24.09,17262.0,11.54
041402,852552.0,271888.0,31.89,137702.0,16.15
041403,,,,,
041600,,,,,
041700,,,,,
041800,,,,,
041900,,,,,
042000,,,,,
042100,,,,,
042200,,,,,
042300,,,,,
042400,,,,,
042500,,,,,
042600,,,,,
042701,,,,,
042702,,,,,
042800,,,,,
042900,,,,,
043001,,,,,
043002,,,,,
043100,,,,,
043200,,,,,
043300,,,,,
050100,788355.0,188674.0,23.93,87273.0,11.07
050200,450637.0,48886.0,10.85,22249.0,4.94
050301,698735.0,163767.0,23.44,152337.0,21.8
050302,411028.0,55427.0,13.48,59977.0,14.59
050400,1416861.0,437354.0,30.87,389673.0,27.5
050500,484855.0,27110.0,5.59,,
050600,1955024.0,664611.0,34.0,975160.0,49.88
050701,12954.0,219.0,1.69,,
050702,32893.0,487.0,1.48,,
050800,1894840.0,779066.0,41.12,872957.0,46.07
050901,154780.0,16464.0,10.64,20144.0,13.01
050902,1019092.0,258635.0,25.38,493641.0,48.44
051001,503566.0,31085.0,6.17,49172.0,9.76
051002,601280.0,42436.0,7.06,55725.0,9.27
051100,2113844.0,540417.0,25.57,690996.0,32.69
051201,9285494.0,4104264.0,44.2,4370017.0,47.06
051202,3455910.0,1453301.0,42.05,1621428.0,46.92
051301,754166.0,66989.0,8.88,97710.0,12.96
051302,1281899.0,336212.0,26.23,393430.0,30.69
051401,987810.0,,,,
051402,1782154.0,,,,
060101,535710.0,33857.0,6.32,14153.0,2.64
060102,370928.0,,,,
060200,253933.0,,,,
060300,1346282.0,,,,
060400,905045.0,,,,
070101,778139.0,179551.0,23.07,121633.0,15.63
070102,2292489.0,958173.0,41.8,702733.0,30.65
